Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000241728,AP001062.3,0.0014138065522620903,-0.9153037595684106,0.9120475936467745,0.0,-0.1473530349416663,1.0,0.0,0.29481991320768675,1.0,0.0,0.7127934804267531,1.0,0.047027027027027025,5.427924389101882,0.08490834237422612,0.0,3.01771235101514,1.0,0.0,3.430149873689283,1.0,0.0,6.79673981774049,1.0
ENSG00000160226,CFAP410,0.06079368174726989,-1.3262368605145172,0.016967035651644674,0.09861365419827361,-0.13662662834860884,1.0,0.21612466124661245,1.2506201092971514,0.14574175306205764,0.20922606034105817,1.1334997297922893,0.3252747663032769,0.1254054054054054,0.34992187710060874,1.0,0.1170534813319879,0.3761663219276157,1.0,0.03908355795148248,-0.5608049867077103,1.0,0.0,1.796739817740491,1.0
ENSG00000184441,AP001062.1,0.009896645865834632,-0.08522876101072185,1.0,0.0,-1.8254249400543037,0.518682952442632,0.03438346883468835,2.446823006652737,0.11721010856853636,0.0,-0.9652784246858843,1.0,0.015675675675675675,1.5210337934933627,1.0,0.0,1.3396404459025018,1.0,0.0,1.7520779685766446,1.0,0.0,5.118667912627854,1.0
ENSG00000260256,AP001063.1,0.0014138065522620903,1.0846962404315885,0.7368385821273634,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000142185,TRPM2,0.0862421996879875,2.868967549376153,7.68028587954936e-06,0.011378498561339264,-1.8915141305120775,0.22549357113912513,0.004911924119241192,-2.4917764486831198,0.14574175306205764,0.006340183646698732,-2.0738028814640534,0.4790620159088332,0.015675675675675675,-0.6806000676762878,1.0,0.0,-0.7896425710424646,1.0,0.07816711590296496,1.2495776280474606,1.0,0.0,2.9893848956828863,1.0
ENSG00000160233,LRRC3,0.007069032761310452,1.6696587411527455,0.3695980823225672,0.0,-0.6327798621119083,1.0,0.004911924119241192,1.0317855073738933,1.0,0.0,0.22736665325651195,1.0,0.0,1.6205694670442776,1.0,0.0,2.532285523844897,1.0,0.0,2.94472304651904,1.0,0.0,6.311312990570249,1.0
ENSG00000274225,AP001065.3,0.005655226209048361,2.406624335318951,0.2067532762283334,0.0,-0.1473530349416663,1.0,0.0,0.29481991320768675,1.0,0.0,0.7127934804267531,1.0,0.0,2.1059962942145187,1.0,0.0,3.01771235101514,1.0,0.0,3.430149873689283,1.0,0.0,6.79673981774049,1.0
ENSG00000184787,UBE2G2,0.3986934477379095,0.00535280906536717,1.0,0.42100444676955273,0.10541303543829961,1.0,0.4175135501355013,0.08881645241027125,1.0,0.38675120244862266,-0.03344992732746377,1.0,0.28216216216216217,-0.4611392095347624,1.0,0.38042381432896066,-0.0027517515445760754,1.0,0.39083557951482484,0.05416265185109892,1.0,0.0,-0.06372644077667577,1.0
ENSG00000236519,LINC01424,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.004911924119241192,3.6167480080950494,0.5362352170549842,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000184900,SUMO3,0.5923849453978158,0.15869682187536682,0.9025545595625116,0.5613392623594037,0.005726295062722264,1.0,0.5992547425474254,0.11631901758556018,1.0,0.4818539571491037,-0.23376726061178643,1.0,0.3918918918918919,-0.5028129484610048,1.0,0.38042381432896066,-0.5058496050418735,1.0,0.5080862533692723,-0.09341208236773069,1.0,0.6170212765957447,0.44447564448216986,1.0
ENSG00000183255,PTTG1IP,0.41990054602184085,1.0277403556195142,0.03651708677346245,0.21998430551922576,-0.5648337101488401,0.8573267096546794,0.16700542005420052,-0.9613281070408677,0.5920679231915774,0.2536073458679493,-0.29422694725101906,1.0,0.17243243243243242,-0.7717479557344831,1.0,0.08779011099899092,-1.470931188838645,1.0,0.27358490566037735,-0.045583557277115716,1.0,0.6170212765957447,1.301684289372472,1.0
ENSG00000160255,ITGB2,5.109496879875194,0.9968343686045427,0.02999288832673541,3.815589850902433,0.005446203902368385,1.0,1.8517953929539293,-1.1536056254730924,0.4571394837275066,2.0668998688237865,-0.958922320938504,0.8965078312720728,1.0032432432432432,-1.9672966382522437,1.0,1.7265388496468215,-1.1723756897468793,1.0,3.400269541778976,-0.20000140079812945,1.0,0.6170212765957447,-2.3154390159821014,1.0
ENSG00000227039,ITGB2-AS1,0.1781396255850234,-0.03514352957441336,1.0,0.26170546691080304,0.6965277631410509,0.5167675464243586,0.08350271002710026,-1.1616942220473168,0.5362352170549842,0.14582422387407085,-0.29320526019468973,1.0,0.29783783783783785,0.8132145449866734,1.0,0.08779011099899092,-0.6882655506673827,1.0,0.19541778975741242,0.32023218161124634,1.0,0.6170212765957447,2.0797489233355506,1.0
ENSG00000273027,AL844908.2,0.0,-0.9153037595684115,1.0,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.015675675675675675,5.427924389101882,0.45411796716035446,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000183250,LINC01547,0.0,-1.9153037595684106,0.5766082759040426,0.0,0.17457505994569544,1.0,0.014735772357723576,4.616748008095049,0.10841329202432015,0.0,1.0347215753141166,1.0,0.0,2.4279243891018822,1.0,0.0,3.3396404459025018,1.0,0.0,3.7520779685766446,1.0,0.0,7.118667912627854,1.0
