Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000065135,GNAI3,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000159352,PSMD4,0.0027262044653349003,-1.0193616643610737,0.5707650684652292,0.01503837378137316,2.755478565746585,0.09014546664765097,0.0,-1.0944798900541546,0.7733049082337926,0.0,0.9997827102878807,1.0
ENSG00000143322,ABL2,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000116918,TSNAX,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000115355,CCDC88A,0.00408930669800235,0.9806383356389263,0.7889984979960034,0.0,-0.5664495291407761,0.9594377926601318,0.0032628262826282627,0.9055201099458454,1.0,0.0,1.6778546154005172,1.0
ENSG00000254999,BRK1,0.0081786133960047,0.787993257696531,0.7043335549223247,0.009023024268823895,0.948123643688981,0.8425510377072307,0.0,-1.4164079849415172,0.6278734647027645,0.0,0.6778546154005181,1.0
ENSG00000231160,KLF3-AS1,0.0,-1.0193616643610728,0.6864356254308278,0.003007674756274632,2.755478565746585,0.6138772142059038,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000177738,AC025171.1,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0032628262826282627,2.9055201099458454,0.5570374457211925,0.0,2.9997827102878807,1.0
ENSG00000196262,PPIA,0.013631022326674503,0.1181418593888619,1.0,0.006015349512549264,-0.8294839349745713,0.7876928780446647,0.02283978397839784,1.2050803918047537,0.45065022272663013,0.0,-0.32214538459948194,1.0
ENSG00000283886,BX664615.2,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0032628262826282627,2.9055201099458454,0.5570374457211925,0.0,2.9997827102878807,1.0
ENSG00000138185,ENTPD1,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000075239,ACAT1,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000149311,ATM,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000111639,MRPL51,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.011783827712312067,4.999782710287881,0.5412616290014084
ENSG00000185950,IRS2,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000102978,POLR2C,0.0013631022326674501,-0.019361664361072783,1.0,0.0,0.1705160650254296,1.0,0.0032628262826282627,1.9055201099458454,0.7733049082337926,0.0,2.4148202095667246,1.0
ENSG00000267100,ILF3-DT,0.0027262044653349003,1.5656008363600824,0.6864356254308278,0.0,0.1705160650254296,1.0,0.0,0.32055760922468934,1.0,0.0,2.4148202095667246,1.0
ENSG00000287271,AC011455.6,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0032628262826282627,2.9055201099458454,0.5570374457211925,0.0,2.9997827102878807,1.0
ENSG00000213799,ZNF845,0.0054524089306698005,-0.2823960701948671,0.9038438942899499,0.006015349512549264,0.34044106646774175,1.0,0.009788478847884788,1.0981651878882417,0.8288659873607435,0.0,0.6778546154005181,1.0
ENSG00000204577,LILRB3,0.0013631022326674501,0.9806383356389272,1.0,0.0,0.7554785657465857,1.0,0.0,0.9055201099458454,1.0,0.0,2.9997827102878807,1.0
ENSG00000280071,GATD3B,0.08587544065804936,-0.4116790871398335,0.5991977244784135,0.12030699025098528,0.37156358396352207,0.7937717820435477,0.12072457245724573,0.3720879098647716,0.8177189830543855,0.0707029662738724,-0.3324137200533088,1.0
ENSG00000275464,FP565260.1,0.009541715628672152,-1.0193616643610737,0.370522724704665,0.03308442231902095,1.7554785657465857,0.13493826449506122,0.0065256525652565255,-0.9018348121117583,0.7733049082337926,0.023567655424624134,1.192427788230276,1.0
ENSG00000280433,FP565260.6,0.019083431257344304,-0.3603985821961402,0.7345959504350783,0.03007674756274632,0.6913482283268699,0.7347511656538018,0.019576957695769576,-0.04201247016001819,1.0,0.023567655424624134,0.630548900622161,1.0
ENSG00000275993,SIK1B,0.0068155111633372515,2.5656008363600824,0.21524499868480645,0.0,-0.8294839349745695,0.9717780512044225,0.0,-0.6794423907753107,0.9844453913696287,0.0,1.4148202095667237,1.0
ENSG00000288187,CU633906.5,0.0,-1.0193616643610728,0.6864356254308278,0.0,0.7554785657465857,1.0,0.0032628262826282627,2.9055201099458454,0.5570374457211925,0.0,2.9997827102878807,1.0
ENSG00000275895,U2AF1L5,0.05179788484136311,0.22164643514272164,0.8130705153608279,0.03609209707529558,-0.42672476547416327,0.9365827056613836,0.05546804680468047,0.32055760922468934,0.9419853758607005,0.0353514831369362,-0.0876801309624593,1.0
ENSG00000280145,CU638689.4,0.0,-2.019361664361073,0.3622313330260596,0.009023024268823895,3.755478565746585,0.11803874281447885,0.0,-0.09447989005415458,1.0,0.0,1.9997827102878807,1.0
