Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000065135,GNAI3,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.005577995768417003,3.826932585579093,0.5004709087464512
ENSG00000159352,PSMD4,0.0027013180569139773,-1.0460894429600716,0.5758032381960473,0.0173819228002877,3.020067170344233,0.06402439711110146,0.0,-0.7335608031054939,1.0,0.0,-0.1730674144209079,1.0
ENSG00000143322,ABL2,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.003997794320374965,3.2664391968945052,0.4912092054100837,0.0,1.826932585579093,1.0
ENSG00000116918,TSNAX,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000115355,CCDC88A,0.0040519770853709655,0.9539105570399267,0.7837188714764702,0.0,-0.3018609245431296,1.0,0.003997794320374965,1.2664391968945052,0.9465368482357607,0.0,0.5050044906917304,1.0
ENSG00000254999,BRK1,0.008103954170741931,0.7612654790975322,0.7123469338825482,0.010429153680172621,1.2127122482866293,0.8968498331732752,0.0,-1.0554888979928565,0.8090843746490052,0.0,-0.49499550930826963,1.0
ENSG00000231160,KLF3-AS1,0.0,-1.0460894429600724,0.6941208952296081,0.0034763845600575406,3.020067170344233,0.5812324172021095,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000177738,AC025171.1,0.0,-1.0460894429600724,0.6941208952296081,0.0034763845600575406,3.020067170344233,0.5812324172021095,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000196262,PPIA,0.013506590284569886,0.09141408078986224,1.0,0.010429153680172621,-0.0673956709061061,1.0,0.01599117728149986,0.5883672917818688,1.0,0.011155991536834007,0.24197008485793603,1.0
ENSG00000283886,BX664615.2,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.003997794320374965,3.2664391968945052,0.4912092054100837,0.0,1.826932585579093,1.0
ENSG00000138185,ENTPD1,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000075239,ACAT1,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000149311,ATM,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000111639,MRPL51,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.005577995768417003,3.826932585579093,0.5004709087464512
ENSG00000185950,IRS2,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000102978,POLR2C,0.0013506590284569886,-0.046089442960072446,1.0,0.0,0.43510466962307603,1.0,0.003997794320374965,2.2664391968945052,0.7056768260524537,0.0,1.241970084857937,1.0
ENSG00000267100,ILF3-DT,0.0027013180569139773,1.5388730577610836,0.6941208952296081,0.0,0.43510466962307603,1.0,0.0,0.6814766961733492,1.0,0.0,1.241970084857937,1.0
ENSG00000287271,AC011455.6,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.003997794320374965,3.2664391968945052,0.4912092054100837,0.0,1.826932585579093,1.0
ENSG00000213799,ZNF845,0.005402636113827955,-0.3091238487938659,0.889138552149235,0.006952769120115081,0.60502967106539,1.0,0.011993382961124895,1.4590842748369015,0.5351750761276437,0.0,-0.49499550930826963,1.0
ENSG00000204577,LILRB3,0.0013506590284569886,0.9539105570399276,1.0,0.0,1.020067170344232,1.0,0.0,1.2664391968945052,1.0,0.0,1.826932585579093,1.0
ENSG00000280071,GATD3B,0.08779283684970425,-0.35924732821970284,0.6941208952296081,0.128626228722129,0.48663497026315916,0.7774157000590743,0.13992280121312378,0.6290092762792145,0.5105659430988139,0.050201961915753025,-0.9596637763117148,0.8039706152376217
ENSG00000275464,FP565260.1,0.00945461319919892,-1.0460894429600724,0.37260164270431295,0.038240230160632945,2.020067170344234,0.06366585402022712,0.0,-2.257122759162507,0.371041679056424,0.022311983073668013,0.9009331670228686,0.9429082675677024
ENSG00000280433,FP565260.6,0.01890922639839784,-0.38712636079513985,0.7325172107246044,0.027811076480460325,0.5461359820118217,0.9528000690363743,0.019988971601874825,0.04404677555805847,1.0,0.027889978842085016,0.6045401642426445,1.0
ENSG00000275993,SIK1B,0.006753295142284943,2.5388730577610836,0.2209752752789813,0.0,-0.5648953303769231,1.0,0.0,-0.31852330382665084,1.0,0.0,0.24197008485793603,1.0
ENSG00000288187,CU633906.5,0.0,-1.0460894429600724,0.6941208952296081,0.0,1.020067170344232,1.0,0.003997794320374965,3.2664391968945052,0.4912092054100837,0.0,1.826932585579093,1.0
ENSG00000275895,U2AF1L5,0.05132504308136557,0.19491865654372198,0.8708124486513927,0.0347638456005754,-0.4512385485813555,1.0,0.07196029776674936,0.7864462557748926,0.4912092054100837,0.022311983073668013,-0.9172285099913182,0.8894505160646824
