Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000065135,GNAI3,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000159352,PSMD4,0.008566702115089213,1.5813558677356028,0.3909476476801654,0.002669735327963176,-1.0807389059298824,0.5582417399333329,0.0,0.4079929305621528,1.0
ENSG00000143322,ABL2,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000116918,TSNAX,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000115355,CCDC88A,0.0,-1.7405722271517599,0.42124591483312723,0.005339470655926352,2.24118918895748,0.357771802935257,0.0,1.0860648356747902,1.0
ENSG00000254999,BRK1,0.0051400212690535275,-0.22599905432200185,1.0,0.008009205983889527,0.7266160161277213,0.7097564233234522,0.0,0.08606483567479017,1.0
ENSG00000231160,KLF3-AS1,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000177738,AC025171.1,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000196262,PPIA,0.01370672338414274,0.16631836845675796,1.0,0.01334867663981588,0.056764617820052266,1.0,0.008022130013831258,0.1600654171185676,1.0
ENSG00000283886,BX664615.2,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000138185,ENTPD1,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000075239,ACAT1,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000149311,ATM,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000111639,MRPL51,0.0,-0.41864413226439723,1.0,0.0,-1.0807389059298824,0.6832156908177066,0.008022130013831258,4.407992930562154,0.43463072069314695
ENSG00000185950,IRS2,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000102978,POLR2C,0.0017133404230178426,0.5813558677356028,1.0,0.001334867663981588,-0.08073890592988242,1.0,0.0,1.8230304298409958,1.0
ENSG00000267100,ILF3-DT,0.0,-1.0036066329855533,0.7670248881386019,0.002669735327963176,1.5042235947912737,0.6832156908177066,0.0,1.8230304298409958,1.0
ENSG00000287271,AC011455.6,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000213799,ZNF845,0.008566702115089213,0.8443902735693962,0.7670248881386019,0.005339470655926352,-0.34377331176367587,0.8909310954906688,0.0,0.08606483567479017,1.0
ENSG00000204577,LILRB3,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000280071,GATD3B,0.12336051045728466,0.5423617361197386,0.4754881117318572,0.08810126582278481,-0.35449971835673466,0.6832156908177066,0.06417704011065006,-0.5410231407190427,1.0
ENSG00000275464,FP565260.1,0.01884674465319627,0.5813558677356019,0.7228500620106602,0.009344073647871116,-1.0807389059298824,0.3683047656658601,0.03208852005532503,1.4819935120059293,0.6252954767479854
ENSG00000280433,FP565260.6,0.023986765922249798,0.24031894990053537,0.9596610907670569,0.01868814729574223,-0.42177582376494893,0.7278876033884436,0.03208852005532503,0.8719400303219427,1.0
ENSG00000275993,SIK1B,0.0,-2.003606632985554,0.4439239937756498,0.00667433831990794,2.5042235947912737,0.2167316086857031,0.0,0.8230304298409967,1.0
ENSG00000288187,CU633906.5,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000275895,U2AF1L5,0.04626019142148175,-0.07072082884409081,1.0,0.05205983889528193,0.2411891889574802,0.8048503554639719,0.03208852005532503,-0.3361681650082575,1.0
ENSG00000280145,CU638689.4,0.0051400212690535275,2.5813558677356028,0.2769142835838829,0.0,-2.0807389059298824,0.357771802935257,0.0,1.4079929305621537,1.0
ENSG00000280164,CU638689.5,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000280018,CU634019.5,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000273590,SMIM11B,0.0,-1.0036066329855533,0.7670248881386019,0.002669735327963176,1.5042235947912737,0.6832156908177066,0.0,1.8230304298409958,1.0
ENSG00000278961,SMIM34B,0.0,-1.0036066329855533,0.7670248881386019,0.002669735327963176,1.5042235947912737,0.6832156908177066,0.0,1.8230304298409958,1.0
ENSG00000276289,KCNE1B,0.0,-1.4186441322643972,0.6603673423724984,0.004004602991944764,1.9192610940701176,0.502263796000443,0.0,1.4079929305621537,1.0
