Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000065135,GNAI3,0.0013847770031515615,1.026043118378137,0.7473883909242197,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000159352,PSMD4,0.002769554006303123,-0.9739568816218629,0.7473883909242197,0.01391387789372676,2.343069683809479,0.2765446654328143,0.0,-0.6499104205669699,1.0,0.0,0.5014372903194371,1.0,0.0,1.185435085108974,1.0,0.05858585858585858,4.510437398260553,1.0
ENSG00000143322,ABL2,0.0,-0.9739568816218629,1.0,0.00347846947343169,3.0211415889221165,0.6378627996713825,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000116918,TSNAX,0.0013847770031515615,1.026043118378137,0.7473883909242197,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000115355,CCDC88A,0.004154331009454684,1.026043118378138,0.6962961063729302,0.0,-0.30078650596524525,1.0,0.0,0.02816148454566747,1.0,0.008516886930983847,2.501437290319437,0.9900473246694578,0.0,1.8635069902216124,1.0,0.0,3.995864225430794,1.0
ENSG00000254999,BRK1,0.008308662018909369,0.8333980404357417,0.6830861967298355,0.01043540842029507,1.2137866668645128,0.912183094429826,0.0,-0.9718385154543325,0.8891224042818829,0.0,0.17950919543207444,1.0,0.0,0.8635069902216124,1.0,0.0,2.995864225430794,1.0
ENSG00000231160,KLF3-AS1,0.0,-0.9739568816218629,1.0,0.00347846947343169,3.0211415889221165,0.6378627996713825,0.0,1.35008957943303,1.0,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000177738,AC025171.1,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0,1.35008957943303,1.0,0.008516886930983847,4.501437290319437,0.5572150191643606,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
ENSG00000196262,PPIA,0.013847770031515614,0.1635466421280718,1.0,0.00347846947343169,-1.2267859245214687,0.644292897024643,0.0041962089422659535,-0.8978379340105551,0.8891224042818829,0.04258443465491924,2.1795091954320744,0.40557952775968137,0.0,-0.13649300977838763,1.0,0.11717171717171716,3.7328298195970007,1.0
ENSG00000283886,BX664615.2,0.0,-0.9739568816218629,1.0,0.0,1.0211415889221165,1.0,0.0041962089422659535,3.35008957943303,0.5357170875184053,0.0,2.501437290319437,1.0,0.0,3.185435085108974,1.0,0.0,5.317792320318158,1.0
