Feature,Normalized.Dispersion
ENSG00000160188,nan
ENSG00000160190,0.0
ENSG00000160191,0.45654335098665483
ENSG00000160193,-1.241259874524241
ENSG00000160194,-1.0
ENSG00000233056,1.4940874876243337
ENSG00000160199,0.4130372314045102
ENSG00000160201,0.5513238120966546
ENSG00000286549,nan
ENSG00000237989,nan
ENSG00000142178,-0.7365819197113792
ENSG00000160207,nan
ENSG00000160208,-0.19121215010027878
ENSG00000160209,-0.30123543326256985
ENSG00000160213,-0.6299971771577636
ENSG00000160214,-2.0993475183873596
ENSG00000215458,-4.818226342269245
ENSG00000160216,-1.0
ENSG00000160218,1.3302859855329892
ENSG00000241945,-1.0
ENSG00000160221,-2.721598143472047
ENSG00000225331,1.0
ENSG00000285413,nan
ENSG00000237604,1.1340386918696044
ENSG00000232124,0.0
ENSG00000160223,1.7029184804139508
ENSG00000278158,3.507563183708312
ENSG00000275799,6.200756819588366
ENSG00000142182,nan
ENSG00000232010,1.0
ENSG00000160224,1.216179766490784
ENSG00000141959,-0.9642738453987382
ENSG00000241728,2.7493549883379407
ENSG00000160226,-0.11010447889827066
ENSG00000184441,-1.848605134854011
ENSG00000260256,nan
ENSG00000142185,-0.4789825232972685
ENSG00000160233,-0.44567986589767744
ENSG00000274225,-0.69335995016161
ENSG00000184787,-1.0
ENSG00000236519,nan
ENSG00000184900,-1.3893727976200705
ENSG00000183255,0.0
ENSG00000160255,0.6984428117416669
ENSG00000227039,2.892796751592587
ENSG00000273027,nan
ENSG00000183250,-0.070214640387686
ENSG00000272825,-0.5435593629553201
ENSG00000160256,-1.4848511348459532
ENSG00000276529,-0.9207425288011811
ENSG00000197381,8.663489723054411
ENSG00000186866,1.5768406874059748
ENSG00000223768,-1.178794418396762
ENSG00000182871,-0.1837664697178133
ENSG00000173638,-1.731297449270889
ENSG00000233922,-0.26297739370426515
ENSG00000183570,0.0
ENSG00000275139,1.3729486207769908
ENSG00000205424,nan
ENSG00000286886,nan
ENSG00000142156,0.017122831677492737
ENSG00000142173,18.545270690907053
ENSG00000160284,-1.0
ENSG00000160285,-1.2666471727982096
ENSG00000215424,2.4371383638153814
ENSG00000160294,-0.01994209309244602
ENSG00000239415,1.373229311746244
ENSG00000182362,0.2677987739349023
ENSG00000160298,3.45656330692891
ENSG00000160299,-1.12375655370156
ENSG00000286224,nan
ENSG00000160305,2.3637631669091967
ENSG00000223692,1.3908865468158058
ENSG00000160307,82.80017789116023
ENSG00000160310,4.985965568945313
ENSG00000198918,nan
