Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000065135,GNAI3,0.0013924232966821912,1.0417253052375095,0.7749959571855021,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000159352,PSMD4,0.0027848465933643825,-0.9582746947624923,0.7749959571855021,0.018706660216094177,2.856383060599823,0.18423799851710357,0.0,-0.4046312469264084,1.0,0.0074954768674076,1.493921887400968,1.0,0.0,1.3984714806950223,1.0,0.0,1.3320533200304991,1.0,0.0,2.095166801474684,1.0,0.0,4.747781961930855,1.0,0.0,4.6002212384918,1.0
ENSG00000143322,ABL2,0.0,-0.9582746947624905,1.0,0.004676665054023544,3.5344549657124604,0.5620262149245617,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000116918,TSNAX,0.0013924232966821912,1.0417253052375095,0.7749959571855021,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000115355,CCDC88A,0.004177269890046574,1.0417253052375086,0.6990097475693022,0.0,0.2125268708250978,1.0,0.0,0.273440658186229,1.0,0.0,0.9793487145712101,1.0,0.0,2.0765433858076596,1.0,0.0,2.0101252251431374,1.0,0.0,2.773238706587321,1.0,0.0,5.425853867043491,1.0,0.15425531914893617,6.6002212384918,0.8987329585499261
ENSG00000254999,BRK1,0.006962116483410956,0.3047597110713012,0.9811554175950518,0.014029995162070633,1.7271000436548558,0.5620262149245617,0.004849498327759197,0.42544375163127945,1.0,0.0,-0.02065128542878991,1.0,0.0,1.0765433858076596,1.0,0.0,1.0101252251431365,1.0,0.0,1.7732387065873212,1.0,0.0,4.425853867043493,1.0,0.0,4.2782931436044365,1.0
ENSG00000231160,KLF3-AS1,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0074954768674076,4.301276809458572,0.5426972710250434,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000177738,AC025171.1,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.02470187393526405,6.095166801474685,0.426290671735693,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000196262,PPIA,0.013924232966821912,0.1792288289874424,1.0,0.004676665054023544,-0.7134725477311257,1.0,0.004849498327759197,-0.6525587603699945,1.0,0.0,-1.02065128542879,1.0,0.0,0.07654338580765963,1.0,0.0440952863659402,2.24459047878016,0.8717854987161591,0.07410562180579214,3.0077039602243447,0.426290671735693,0.17365269461077842,4.49985444848727,1.0,0.0,3.278293143604437,1.0
ENSG00000283886,BX664615.2,0.0,-0.9582746947624905,1.0,0.0,1.5344549657124604,1.0,0.004849498327759197,3.5953687530735907,0.6291024193711968,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000138185,ENTPD1,0.0013924232966821912,1.0417253052375095,0.7749959571855021,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000075239,ACAT1,0.0013924232966821912,1.0417253052375095,0.7749959571855021,0.0,1.5344549657124604,1.0,0.0,1.5953687530735907,1.0,0.0,2.301276809458572,1.0,0.0,3.398471480695023,1.0,0.0,3.332053320030499,1.0,0.0,4.095166801474685,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
