Feature
1,ENSG00000215458
2,ENSG00000276289
3,ENSG00000160221
4,ENSG00000223799
5,ENSG00000215533
6,ENSG00000154723
7,ENSG00000160214
8,ENSG00000159228
9,ENSG00000184221
10,ENSG00000154719
11,ENSG00000255568
12,ENSG00000184441
13,ENSG00000159082
14,ENSG00000173638
15,ENSG00000177692
16,ENSG00000160256
17,ENSG00000159259
18,ENSG00000184900
19,ENSG00000156261
20,ENSG00000232855
21,ENSG00000160285
22,ENSG00000160193
23,ENSG00000213799
24,ENSG00000159352
25,ENSG00000142188
26,ENSG00000159131
27,ENSG00000241837
28,ENSG00000223768
29,ENSG00000244676
30,ENSG00000160299
31,ENSG00000183527
32,ENSG00000157538
33,ENSG00000180509
34,ENSG00000160194
35,ENSG00000160284
36,ENSG00000205726
37,ENSG00000241945
38,ENSG00000196262
39,ENSG00000160216
40,ENSG00000159200
41,ENSG00000184787
42,ENSG00000159256
43,ENSG00000141959
44,ENSG00000159216
45,ENSG00000228817
46,ENSG00000276529
47,ENSG00000280071
48,ENSG00000156299
49,ENSG00000273271
50,ENSG00000159140
51,ENSG00000275895
52,ENSG00000159055
53,ENSG00000159079
54,ENSG00000254999
55,ENSG00000142178
56,ENSG00000256073
57,ENSG00000275464
58,ENSG00000274225
59,ENSG00000234883
60,ENSG00000160213
61,ENSG00000159231
62,ENSG00000280433
63,ENSG00000115355
64,ENSG00000248476
65,ENSG00000272825
66,ENSG00000142185
67,ENSG00000273254
68,ENSG00000157617
69,ENSG00000160233
70,ENSG00000273210
71,ENSG00000185808
72,ENSG00000160209
73,ENSG00000157540
74,ENSG00000157557
75,ENSG00000233922
76,ENSG00000155304
77,ENSG00000160208
78,ENSG00000156239
79,ENSG00000159110
80,ENSG00000182871
81,ENSG00000154734
82,ENSG00000156253
83,ENSG00000242220
84,ENSG00000160226
85,ENSG00000183250
86,ENSG00000243927
87,ENSG00000160294
88,ENSG00000243646
89,ENSG00000237373
90,ENSG00000141956
91,ENSG00000160190
92,ENSG00000236830
93,ENSG00000205758
94,ENSG00000180530
95,ENSG00000185917
96,ENSG00000183255
97,ENSG00000232124
98,ENSG00000224905
99,ENSG00000183570
100,ENSG00000142207
101,ENSG00000142156
102,ENSG00000286018
103,ENSG00000154727
104,ENSG00000159267
105,ENSG00000205929
106,ENSG00000154640
107,ENSG00000280145
108,ENSG00000237484
109,ENSG00000275993
110,ENSG00000182362
111,ENSG00000156304
112,ENSG00000160199
113,ENSG00000184385
114,ENSG00000205930
115,ENSG00000160191
116,ENSG00000159086
117,ENSG00000272948
118,ENSG00000160201
119,ENSG00000156273
120,ENSG00000142168
121,ENSG00000166265
122,ENSG00000160255
123,ENSG00000185658
124,ENSG00000205581
125,ENSG00000185437
126,ENSG00000160185
127,ENSG00000159147
128,ENSG00000155313
129,ENSG00000154721
130,ENSG00000232010
131,ENSG00000154642
132,ENSG00000225331
133,ENSG00000155307
134,ENSG00000142166
135,ENSG00000230366
136,ENSG00000154736
137,ENSG00000237604
138,ENSG00000224790
139,ENSG00000198743
140,ENSG00000160224
141,ENSG00000177398
142,ENSG00000273199
143,ENSG00000160218
144,ENSG00000280594
145,ENSG00000275139
146,ENSG00000239415
147,ENSG00000223692
148,ENSG00000198862
149,ENSG00000233056
150,ENSG00000186866
151,ENSG00000182670
152,ENSG00000160223
153,ENSG00000166979
154,ENSG00000273017
155,ENSG00000274391
156,ENSG00000142197
157,ENSG00000238197
158,ENSG00000173276
159,ENSG00000215386
160,ENSG00000183486
161,ENSG00000185272
162,ENSG00000228107
163,ENSG00000160305
164,ENSG00000160179
165,ENSG00000215424
166,ENSG00000156256
167,ENSG00000159128
168,ENSG00000182093
169,ENSG00000241728
170,ENSG00000227039
171,ENSG00000160298
172,ENSG00000278158
173,ENSG00000142192
174,ENSG00000237945
175,ENSG00000182240
176,ENSG00000205670
177,ENSG00000229425
178,ENSG00000234509
179,ENSG00000278932
180,ENSG00000157601
181,ENSG00000160310
182,ENSG00000275799
183,ENSG00000197381
184,ENSG00000157551
185,ENSG00000142173
186,ENSG00000160307
187,ENSG00000156265
