PC,Proportion.Variance.Explained
1,0.022258615690753374
2,0.012753414991369748
3,0.01066010911977868
4,0.010276269725125216
5,0.01022224010266341
6,0.010120090632246307
7,0.01006857048456694
8,0.009897710984968855
9,0.009534744131391312
10,0.009458850390268428
