Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000065135,GNAI3,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000159352,PSMD4,0.007056991288265927,1.0799201854701534,0.5713302062066495,0.0026704728578663844,-1.0799201854701534,0.5713302062066495
ENSG00000143322,ABL2,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000116918,TSNAX,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000115355,CCDC88A,0.0014113982576531854,-0.9200798145298448,0.7880679790066643,0.004005709286799577,0.9200798145298448,0.7880679790066643
ENSG00000254999,BRK1,0.0028227965153063707,-1.3351173138086896,0.4888090432933964,0.009346655002532345,1.3351173138086896,0.4888090432933964
ENSG00000231160,KLF3-AS1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000177738,AC025171.1,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000196262,PPIA,0.012702584318878668,-0.05758333827978035,1.0,0.013352364289331922,0.05758333827978035,1.0
ENSG00000283886,BX664615.2,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000138185,ENTPD1,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000075239,ACAT1,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000149311,ATM,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000111639,MRPL51,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000185950,IRS2,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000102978,POLR2C,0.0014113982576531854,0.07992018547015434,1.0,0.0013352364289331922,-0.07992018547015434,1.0
ENSG00000267100,ILF3-DT,0.0,-1.5050423152510017,0.6795320479323392,0.0026704728578663844,1.5050423152510017,0.6795320479323392
ENSG00000287271,AC011455.6,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000213799,ZNF845,0.007056991288265927,0.3429545913039478,0.8994291687703767,0.005340945715732769,-0.3429545913039478,0.8994291687703767
ENSG00000204577,LILRB3,0.0,-0.9200798145298457,1.0,0.0013352364289331922,0.9200798145298457,1.0
ENSG00000280071,GATD3B,0.1157346571275612,0.4325918037886245,0.5740784844012401,0.0854551314517243,-0.4325918037886245,0.5740784844012401
ENSG00000275464,FP565260.1,0.02117097386479778,1.0799201854701543,0.36032593010070396,0.009346655002532345,-1.0799201854701543,0.36032593010070396
ENSG00000280433,FP565260.6,0.025405168637757335,0.42095710330522085,0.7278785914581913,0.01869331000506469,-0.42095710330522085,0.7278785914581913
ENSG00000275993,SIK1B,0.0,-2.5050423152510017,0.21405971196337967,0.006676182144665961,2.5050423152510017,0.21405971196337967
ENSG00000288187,CU633906.5,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000275895,U2AF1L5,0.04516474424490193,-0.16108791403364098,0.9286141093195113,0.050738984299461304,0.16108791403364098,0.9286141093195113
ENSG00000280145,CU638689.4,0.004234194772959556,2.0799201854701534,0.35036461069469027,0.0,-2.0799201854701534,0.35036461069469027
ENSG00000280164,CU638689.5,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000280018,CU634019.5,0.0014113982576531854,1.0799201854701543,0.6795320479323392,0.0,-1.0799201854701543,0.6795320479323392
ENSG00000273590,SMIM11B,0.0,-1.5050423152510017,0.6795320479323392,0.0026704728578663844,1.5050423152510017,0.6795320479323392
ENSG00000278961,SMIM34B,0.0,-1.5050423152510017,0.6795320479323392,0.0026704728578663844,1.5050423152510017,0.6795320479323392
ENSG00000276289,KCNE1B,0.0,-1.9200798145298448,0.5165828680406628,0.004005709286799577,1.9200798145298448,0.5165828680406628
ENSG00000279579,LINC01666,0.0028227965153063707,1.6648826861913095,0.5151331241831497,0.0,-1.6648826861913095,0.5151331241831497
ENSG00000278932,CR381653.1,0.014113982576531854,1.217423709220089,0.5093078714000893,0.005340945715732769,-1.217423709220089,0.5093078714000893
ENSG00000274391,TPTE,0.0028227965153063707,0.6648826861913095,0.7848605043653089,0.0013352364289331922,-0.6648826861913095,0.7848605043653089
ENSG00000224905,AP001347.1,0.0056455930306127415,2.401848280357516,0.21394238314044647,0.0,-2.401848280357516,0.21394238314044647
ENSG00000185272,RBM11,0.03246215992602326,4.6648826861913095,5.245089131066827e-05,0.0,-4.6648826861913095,5.245089131066827e-05
ENSG00000155304,HSPA13,0.09032948848980386,0.6760232437965112,0.358767078599927,0.05607993001519407,-0.6760232437965112,0.358767078599927
ENSG00000155307,SAMSN1,0.21029834039032463,-0.39862025611484775,0.5832581012866355,0.277729177218104,0.39862025611484775,0.5832581012866355
ENSG00000281903,LINC02246,0.0028227965153063707,1.6648826861913095,0.5093078714000893,0.0,-1.6648826861913095,0.5093078714000893
ENSG00000180530,NRIP1,0.10162067455102934,-1.1565200103519269,0.027842388434279025,0.22832542934757585,1.1565200103519269,0.027842388434279025
